"filename", "language", "C", "RISC-V Assembly", "LinkerScript", "C++", "Batch", "Shell Script", "Markdown", "Makefile", "JSON", "CMake", "CMake Cache", "Log", "TypeScript", "comment", "blank", "total"
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 24, 90
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38, 109
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 46, 150
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C++", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35, 143
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C++", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 89
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\cpu\os_cfg.h", "C", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\dev\timer.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\fs\fs.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C++", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 28
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 58
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\tools\list.h", "C", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 68
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 66
